City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Port-Cartier,CA,50.0334,-66.8654,52.75,97,100,7.31,overcast clouds
139,Phuntsholing,BT,26.8516,89.3884,89.44,69,100,5.08,overcast clouds
140,Nyrob,RU,60.733,56.7202,41.7,93,100,10.69,overcast clouds
141,Semey,KZ,50.4111,80.2275,77.22,29,0,13.42,clear sky
142,Nadym,RU,65.5333,72.5167,56.23,44,66,20.29,broken clouds
143,Banff,CA,51.1762,-115.5698,60.03,38,47,4.61,scattered clouds
144,Lompoc,US,34.6391,-120.4579,65.1,95,1,0.0,mist
145,Novoagansk,RU,61.9449,76.6625,59.94,46,70,14.16,broken clouds
146,Luderitz,NA,-26.6481,15.1594,54.86,73,9,22.88,clear sky
147,Camacha,PT,33.0833,-16.3333,73.53,94,40,12.66,scattered clouds
148,Saint-Pierre,RE,-21.3393,55.4781,75.29,60,19,25.32,few clouds
149,Marawi,PH,7.9986,124.2928,71.65,92,98,2.66,overcast clouds
150,Haines Junction,CA,60.7522,-137.5108,51.75,66,100,4.61,overcast clouds
151,Ust-Karsk,RU,52.7011,118.8077,60.78,36,100,7.54,overcast clouds
152,Dakar,SN,14.6937,-17.4441,77.88,81,29,7.74,scattered clouds
153,Komsomolskiy,UZ,40.4272,71.7189,85.35,21,0,6.91,clear sky
154,Narsaq,GL,60.9167,-46.05,41.22,52,0,2.44,clear sky
155,Roald,NO,62.5833,6.1333,59.14,67,75,12.66,broken clouds
156,Rio Grande,BR,-32.035,-52.0986,58.95,93,93,4.99,overcast clouds
157,Deputatskiy,RU,69.3,139.9,41.83,83,100,29.97,light rain
158,Saint-Philippe,RE,-21.3585,55.7679,76.21,72,69,15.08,broken clouds
159,Hamilton,US,39.1834,-84.5333,63.41,92,1,0.0,mist
160,Valparaiso,CL,-33.0393,-71.6273,47.84,87,20,3.44,few clouds
161,Kudahuvadhoo,MV,2.6708,72.8944,82.72,74,88,12.59,overcast clouds
162,Bhasawar,IN,27.0333,77.0333,91.4,57,91,0.45,overcast clouds
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.11,94,15,2.93,few clouds
164,Alice Springs,AU,-23.7,133.8833,67.55,21,0,17.27,clear sky
165,Tokur,RU,53.1333,132.9,66.27,66,92,3.6,overcast clouds
166,Saint George,US,37.1041,-113.5841,86.95,27,1,1.99,clear sky
167,Conde,BR,-7.2597,-34.9075,71.06,94,20,3.44,few clouds
168,Sitka,US,57.0531,-135.33,57.09,88,90,6.91,light rain
169,Nouadhibou,MR,20.931,-17.0347,71.58,88,0,16.11,clear sky
170,Stornoway,GB,58.2093,-6.3865,57.16,94,75,8.05,broken clouds
171,Cassilandia,BR,-19.1133,-51.7342,77.41,40,9,3.89,clear sky
172,Nantucket,US,41.2835,-70.0995,72.0,87,90,14.97,overcast clouds
173,Sur,OM,22.5667,59.5289,90.93,54,19,7.7,few clouds
174,Saskylakh,RU,71.9167,114.0833,64.04,57,68,12.57,broken clouds
175,Faanui,PF,-16.4833,-151.75,78.69,72,6,14.12,clear sky
176,Lardos,GR,36.0942,28.0157,77.95,60,0,11.39,clear sky
177,Ahipara,NZ,-35.1667,173.1667,57.15,78,78,12.19,broken clouds
178,Umba,RU,66.6871,34.3429,42.3,67,5,7.09,clear sky
179,Mehamn,NO,71.0357,27.8492,46.58,90,100,7.7,overcast clouds
180,Araouane,ML,18.9048,-3.5265,91.94,27,12,6.62,few clouds
181,Ambovombe,MG,-25.1667,46.0833,72.75,55,0,6.8,clear sky
182,Cherskiy,RU,68.75,161.3,32.49,100,100,19.55,snow
183,Foz,ES,43.5692,-7.2544,69.93,58,53,4.07,broken clouds
184,Yumen,CN,40.2833,97.2,79.48,14,0,15.88,clear sky
185,San Juan Del Cesar,CO,10.7711,-73.0031,73.89,88,97,2.28,overcast clouds
