City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Nhulunbuy,AU,2021-09-05 20-01-19,-12.2333,136.7667,75.81,83,40,8.05
93,Paidha,UG,2021-09-05 20-05-07,2.4167,30.9855,60.08,94,77,3.18
94,Linqiong,CN,2021-09-05 20-05-07,30.4159,103.4609,68.02,93,100,9.8
95,Assiniboia,CA,2021-09-05 20-05-07,49.6334,-105.9845,81.5,18,74,13.02
96,Vydrino,RU,2021-09-05 20-05-07,51.485,104.8461,44.37,80,100,3.47
97,Touros,BR,2021-09-05 20-05-08,-5.1989,-35.4608,81.5,76,7,15.55
98,Sandusky,US,2021-09-05 20-03-46,41.3501,-83.1332,81.18,52,2,4.0
99,Atherton,GB,2021-09-05 20-05-08,53.5237,-2.4935,69.22,76,100,1.01
100,Parana,AR,2021-09-05 20-05-09,-31.732,-60.5238,67.55,69,100,8.52
101,Vanino,RU,2021-09-05 20-05-09,49.0869,140.2543,53.51,83,6,5.46
102,Chokurdakh,RU,2021-09-05 20-05-09,70.6333,147.9167,40.64,92,100,16.44
103,Aripuana,BR,2021-09-05 20-01-07,-9.1667,-60.6333,88.93,48,76,3.0
104,Hasaki,JP,2021-09-05 20-05-10,35.7333,140.8333,68.4,79,100,20.62
105,Ahipara,NZ,2021-09-05 20-05-10,-35.1667,173.1667,52.84,84,37,8.57
106,Sirjan,IR,2021-09-05 20-05-10,29.452,55.6814,75.25,13,0,7.52
107,Narsaq,GL,2021-09-05 20-05-10,60.9167,-46.05,52.02,46,7,4.16
108,Barrow,US,2021-09-05 20-05-11,71.2906,-156.7887,37.42,87,90,8.05
109,Butaritari,KI,2021-09-05 20-05-11,3.0707,172.7902,83.21,75,44,16.26
110,Cidreira,BR,2021-09-05 20-05-11,-30.1811,-50.2056,60.71,94,100,7.54
111,The Valley,AI,2021-09-05 20-05-12,18.217,-63.0578,89.46,70,40,12.66
